Vmod (V), Iact (mA), Pout (mW)
-5.00, 2003, 0.000
-4.80, 2044, 0.000
-4.60, 2083, 0.000
-4.40, 2123, 0.000
-4.20, 2162, 0.000
-4.00, 2204, 0.000
-3.80, 2243, 0.028
-3.60, 2284, 0.044
-3.40, 2323, 0.064
-3.20, 2364, 0.088
-3.00, 2403, 0.115
-2.80, 2443, 0.149
-2.60, 2485, 0.191
-2.40, 2518, 0.241
-2.20, 2558, 0.296
-2.00, 2600, 0.355
-1.80, 2638, 0.415
-1.60, 2680, 0.483
-1.40, 2718, 0.564
-1.20, 2760, 0.662
-1.00, 2800, 0.768
-0.80, 2840, 0.875
-0.60, 2879, 0.979
-0.40, 2920, 1.086
-0.20, 2960, 1.205
0.00, 3000, 1.348
0.20, 3037, 1.508
0.40, 3080, 1.673
0.60, 3118, 1.829
0.80, 3159, 1.977
1.00, 3199, 2.130
1.20, 3240, 2.302
1.40, 3279, 2.505
1.60, 3319, 2.720
1.80, 3359, 2.923
2.00, 3401, 3.103
2.20, 3428, 3.283
2.40, 3480, 3.481
2.60, 3520, 3.713
2.80, 3560, 3.965
3.00, 3599, 4.202
3.20, 3639, 4.386
3.40, 3682, 4.550
3.60, 3720, 4.760
3.80, 3759, 5.012
4.00, 3801, 5.278
